Array
(
    [start_date] => 1522555200
    [end_date] => 1530417600
    [option] => 4
    [quarter] => q2
)
2018-04-01<br>2018-07-01<br>"OSC Number","Current Aero Program Level","Accrued Co-Op Funds QTD"
"7040","Aerox","0.00"
"2362","Aero","257.80"
"2116","Turbo","95.42"
"2367","Base","20.56"
"1337","Aero","326.42"
"2293","Base","1.82"
"53","Base","17.70"
"46","Aero","376.07"
"2295","Base","0.23"
"2413","Base","7.35"
"2423","Base","34.72"
"2376","Turbo","126.09"
"7004","Turbo","69.90"
"6212","Turbo","89.87"
"2138","Turbo","206.27"
"2395","Base","3.87"
"2386","Aero","272.72"
"2411","Turbo","144.79"
"2059","Turbo","36.51"
"5067","Turbo","104.08"
"2350","Turbo","148.08"
"2435","Turbo","106.01"
"2112","Base","25.03"
"2383","Base","16.61"
"2406","Base","6.10"
"2161","Base","15.96"
"2444","Base","24.90"
"114","Base","23.16"
"2441","Base","5.43"
"2312","Base","13.43"
"1993","Turbo","61.83"
"900","Base","21.31"
"2101","Base","34.10"
"2134","Aero","210.58"
"2334","Base","15.09"
"1807","Turbo","136.02"
"2443","Aerox","1,440.39"
"2092","Turbo","113.27"
"2393","Base","37.67"
"999","Base","0.00"
"2348","Turbo","183.33"
"1706","Turbo","93.95"
"2439","Base","15.10"
"2310","Turbo","55.43"
"2027","Base","50.93"
"1721","Aero","224.27"
"2184","Turbo","119.51"
"2269","Turbo","76.13"
"7030","Aero","0.00"
"2354","Base","12.32"
"2389","Base","19.39"
"6233","Base","17.68"
"2366","Base","9.02"
"2199","Turbo","31.35"
"2218","Base","31.62"
"2381","Aero","238.89"
"2212","Base","24.26"
"6223","Aero","103.40"
"6290","Base","32.99"
"2352","Turbo","170.74"
"2167","Turbo","128.06"
"2071","Base","42.76"
"2107","Turbo","105.27"
"2394","Turbo","40.93"
"2318","Base","35.08"
"2235","Aero","710.82"
"1988","Base","90.83"
"2049","Turbo","43.74"
"403","Turbo","323.56"
"6247","Turbo","13.62"
"2137","Base","76.85"
"308","Turbo","33.90"
"6225","Base","6.93"
"4001","Base","0.36"
"2306","Turbo","31.02"
"2152","Turbo","103.85"
"2280","Turbo","86.78"
"2418","Turbo","169.46"
"5350","Turbo","17.74"
"6249","Base","0.23"
"2190","Base","0.90"
"2374","Aero","506.11"
"2379","Base","20.13"
"2431","Base","1.20"
"2154","Turbo","181.90"
"2080","Turbo","106.41"
"2175","Turbo","12.55"
"2099","Base","10.64"
"2392","Base","24.88"
"5064","Turbo","75.45"
"2278","Base","13.28"
"6213","Turbo","7.91"
"443","Base","6.63"
"1905","Turbo","104.39"
"2442","Base","0.29"
"2388","Base","48.44"
"2286","Base","14.08"
"2349","Base","7.35"
"9000","Base","0.00"
"2380","Turbo","85.72"
"2384","Base","60.55"
"927","Base","2.28"
"2119","Turbo","121.55"
"1947","Base","94.60"
"2426","Base","22.52"
"2385","Turbo","45.45"
"1952","Turbo","74.49"
"155","Turbo","47.58"
"2230","Base","8.97"
"1781","Base","61.21"
"2409","Turbo","42.45"
"2405","Base","36.03"
"2166","Base","37.10"
"31","Aero","712.94"
"1735","Turbo","185.63"
"2387","Base","15.10"
"2412","Turbo","76.85"
"5352","Turbo","104.67"
"1875","Aero","350.34"
"2417","Base","71.62"
"2344","Turbo","106.24"
"5045","Turbo","30.75"
"2255","Base","2.48"
"848","Turbo","45.37"
"2410","Base","45.53"
"2373","Turbo","41.00"
"2432","Turbo","60.37"
"2127","Base","43.46"
"2378","Turbo","268.87"
"2365","Turbo","0.61"
"2003","Base","9.28"
"2377","Base","13.07"
"2364","Base","10.74"
"2009","Base","63.67"
"2115","Base","23.22"
"1904","Base","36.65"
"1744","Turbo","153.78"
"2375","Base","45.50"
"996","Base","17.92"
"1923","Base","1.24"
"1857","Base","14.73"
"2438","Turbo","70.60"
"2209","Turbo","27.50"
"6224","Base","9.07"
"2151","Base","15.30"
"2170","Turbo","44.76"
"2396","Base","7.89"
"1818","Base","17.89"
"2422","Aero","336.28"
"878","Turbo","186.01"
"2399","Base","2.55"
"2433","Base","59.73"
"2368","Base","5.24"
"2414","Turbo","114.27"
"2121","Base","48.35"
"1718","Turbo","111.96"
"2087","Base","24.48"
"36","Turbo","147.19"
"2297","Base","11.18"
"1321","Base","1.12"
"2351","Turbo","258.95"
"2430","Base","5.44"
"2419","Base","19.13"
"2339","Turbo","84.85"
"6246","Turbo","45.19"
"2256","Base","12.87"
"1516","Turbo","49.53"
"2165","Aero","125.10"
"2144","Aerox","458.53"
"2424","Turbo","145.35"
"871","Turbo","64.52"
"2382","Turbo","130.79"
"2363","Base","3.05"
"1914","Base","2.91"
"2415","Turbo","43.91"
"2425","Base","6.90"
"2090","Turbo","5.52"
"2314","Turbo","45.19"
